Hypothesis,Type,Source,Count
"Let us  pass  the night together ,",Metaphor,IMPLI,1
The man has the build of a third-grader,Metaphor,FIG-QA,1
I am trying to work here so please keep distracting me,Sarcasm,FLUTE,1
"A ânecklineâ is drawn connecting the low points after the left shoulder and head (often called âarmpitsâ).If the price drops below the neckline, the pattern is complete and a downtrend is likely underway.",Metaphor,IMPLI,1
"And the Spirit ,  stooping  earthward ,",Metaphor,IMPLI,1
Your clothes make people laugh.,Simile,AB,1
I absolutely love being bald and not at all feel the need for some nice hair.,Sarcasm,FLUTE,1
He is grinning like an ape.,Metaphor,FLUTE,1
her ideas are as bright as heaven,Metaphor,FIG-QA,1
I was having the most wonderful time of my life when the man who looked homeless was chasing me down the alley.,Sarcasm,FLUTE,1
"When he hid, he became an elephant.",Metaphor,FIG-QA,1
"when all is said and done, it's the content you create that makes the real difference.",Idiom,FLUTE,1
"Well, that went over like a lead balloon.",Simile,Kaggle,1
"‘ we pour cold water on the natural loving feelings of their parents , and give them the impression they have produced something monstrous .",Idiom,IMPLI,1
"There may be no other country in the world that over the past half century has seen growth as sustained as that of South Korea, including conversions to Christ.",Metaphor,IMPLI,1
The wind was as relentless as a marathon runner.,Simile,ChatGPT,1
Your words are like a child's.,Simile,AB,1
The city was as charming as a romantic movie.,Simile,ChatGPT,1
"Lance deals mostly in coke, but he dabbles in a few other odds and ends, too.",Idiom,FLUTE,1
I wasn't jealous at all when my co-worker kept getting top spot even though I knew he was cheating.,Sarcasm,FLUTE,1
"With that hairstyle, you look like a privet hedge.",Simile,AB,1
And in her old bounds axed her despair.,Metaphor,FLUTE,1
Isn't there any way for you to get in touch with him?,Idiom,FLUTE,1
It was indeed my turn to run the gauntlet.,Idiom,FLUTE,1
We got up way too early to catch a short flight to Paraguay.,Metaphor,IMPLI,1
His stomach was as loud as a moment of silence,Metaphor,FIG-QA,1
"He grabbed one forearm and broke it, then a blow on the forehead knocked his eyesight out of kilter, another thumped his ribs and he gave up, sliding hunched down the wall trying to keep his groin and kidneys safe.",Idiom,IMPLI,1
"In the United States, three major research laboratories are working on HDTV around the clock.",Idiom,IMPLI,1
"Faced with such a bait and switch of her dramatic, romance-filled dreams, Alice often wondered how her mother even lasted the eleven fractured years.",Idiom,FLUTE,1
"God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.",Simile,FLUTE,1
You make me feel like I don’t matter.,Simile,AB,1
Your eyes are like empty voids.,Simile,AB,1
"… bloody man is in the fast - lane; comes off at junction 7 for a year or so here, and then he'll be off and away at junction 8, on to his chief's job somewhere else … and look at him!",Idiom,IMPLI,1
My family cannot agree on what to eat for dinner and it's really a good use of time.,Sarcasm,FLUTE,1
I wasn't fazed at that the high level travel alert would interrupt my travel to the region because the thought of being killed is just so exciting.,Sarcasm,FLUTE,1
The bottle is as clear as an ice cube,Metaphor,FIG-QA,1
Their love was the discharge unit of a psych ward,Metaphor,FIG-QA,1
"Because you're a smart, pretty woman who I suspect is a lot of fun once you let your hair down.",Idiom,FLUTE,1
"cherek,"" I replied in a pained tone, 'that path's like a broken-backed snake",Simile,FLUTE,1
"Barefooted, ragged, with neglected hair, she was a thin slip of a girl, like a new moon.",Simile,Kaggle,1
Your voice is like you've just run a marathon.,Simile,AB,1
I feel so pleased that the cable company never showed up even after waiting for 5 hours,Sarcasm,FLUTE,1
"My puppy ruined my planned outing by peeing on my clothes, and I was so happy about it that I tried to cuddle her",Sarcasm,FLUTE,1
Your voice sounds like it's going to give up soon.,Simile,AB,1
The groups are as separate as Berlin during the Cold War.,Metaphor,FIG-QA,1
"He saw totally decrepit, brightly painted buses belching smoke and fumes cheek by jowl with hummers and BMWs.",Idiom,FLUTE,1
I was totally proud when I found out my son has been bullying other kids at school,Sarcasm,FLUTE,1
"£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .",Metaphor,IMPLI,1
My friends asked if I would tickle the ivory at their wedding reception.,Idiom,FLUTE,1
You walk like your feet aren't attached to your legs.,Simile,AB,1
The rule of thumb for working out Maximum Heart Rate ( MHR ) is 225 minus your age in years .,Idiom,IMPLI,1
The war devoured so many lives.,Metaphor,FLUTE,1
That's as consistent as California weather,Metaphor,FIG-QA,1
"Let's cut the crap,said webb's fishing companion.",Idiom,FLUTE,1
I am absolutely elated that my loyal wife of 10 years has been unfaithful to me,Sarcasm,FLUTE,1
Your smile is like a daisy in amongst the sunflowers.,Simile,AB,1
I feel wonderful that month after month trying to conceive resulted in nothing,Sarcasm,FLUTE,1
I'm as hairy as a naked mole rat,Simile,FLUTE,1
Your movements remind me of a robot.,Simile,AB,1
I was so excited to eat my takeout last night and then I got home to find the beautiful surprise that half my food was missing.,Sarcasm,FLUTE,1
Just understand what you would like to sell you will find a lot of these things which are constantly hit the market with that you will demand a number of points.,Metaphor,IMPLI,1
"No.1 Mumbai Escorts is the worlds oldest and most established exclusive matchmaking service where successful men meet exceptionally beautiful and intelligent Mumbai Escorts and actresses in a relaxing, discreet and confidential manner.",Metaphor,IMPLI,1
The smell coming out of my trash can was so beautiful that I almost threw up,Sarcasm,FLUTE,1
I just love it when people smoke near me at work when I am trying to focus.,Sarcasm,FLUTE,1
"If I continue to go the distance for her, our relationship will be fine.",Idiom,FLUTE,1
I jumped for joy when I received a letter from the IRS saying I owed taxes from 3 years ago,Sarcasm,FLUTE,1
I adore it when people blast their music during the week at 3am and disrupt my sleep,Sarcasm,FLUTE,1
They scoured through the job candidates.,Metaphor,FLUTE,1
The stars shined as bright as wood,Metaphor,FIG-QA,1
He looked about as inconspicuous as a tarantula on a slice of angel food.,Simile,Kaggle,1
The woman moved with the grace of a ballerina,Metaphor,FIG-QA,1
She said that she could smell infidelity from a mile.,Metaphor,FLUTE,1
"He's got a potty old uncle living with him, who's generally kept under lock and key.",Idiom,IMPLI,1
I let out a loud fart while eating lunch with my coworkers and now I feel totally pleased and confident,Sarcasm,FLUTE,1
That is why it is so important to remain like a planted oak,Simile,FLUTE,1
Everything flowed to his glory.,Metaphor,FLUTE,1
This test is a bear,Metaphor,FIG-QA,1
I feel overjoyed that I nodded off at my desk yesterday,Sarcasm,FLUTE,1
I feel proud that the meal I cooked for my family didn't turn out well,Sarcasm,FLUTE,1
So were back to square one.,Idiom,FLUTE,1
They were successful and at the end of the day the price of gold dropped to $1200.,Metaphor,IMPLI,1
VA mortgages are only made available to honorably discharged veterans and active service personnel who have met any of the following term of service requirements:,Metaphor,IMPLI,1
I feel totally pleased that the gloves that the restaurant staff wore touched my food,Sarcasm,FLUTE,1
"We offer advice and recommendations for renting or purchasing a breast pump, which may also be covered by some insurance plans for certain medical reasons.",Metaphor,IMPLI,1
I was so thrilled when someone decided to push me and made me fall in the subway,Sarcasm,FLUTE,1
Installing the part was as easy as understanding relativity,Metaphor,FIG-QA,1
His eyes were as deep as an oil well,Metaphor,FIG-QA,1
"When you confront him about it, he is like a beffudled toddler.",Simile,FLUTE,1
Off she went like a wreckingball.,Simile,FLUTE,1
"I held my breath, waiting for what my gaze would fall upon, and I almost shrieked as I stared at his head, bald like a lamp post.",Simile,FLUTE,1
We warmly advise to take out insurance to cover eventual medical expenses or loss of luggage.,Metaphor,IMPLI,1
"And dance as dust before the sun, light of foot and unconfined.",Simile,Kaggle,1
"I was gone for only a few days and my adult son just let the sink fill up with dirty dishes, making me feel proud",Sarcasm,FLUTE,1
I was at a party with my boyfriend and he ignoring me there made me feel super loved,Sarcasm,FLUTE,1
He was in a black mood.,Metaphor,FLUTE,1
You laugh like it's not really funny.,Simile,AB,1
We offer quality services and strive to meet our own high standards.,Metaphor,IMPLI,1
The city was as noisy as a roaring lion.,Simile,ChatGPT,1
His spiral is that of a cotton ball,Metaphor,FIG-QA,1
Your input is like an out of control printer.,Simile,AB,1
"Streaks of electricity cackled through the air, swirling around and around like Lovecraftian tentacles.",Simile,FLUTE,1
Your arms are like a determined police officer directing traffic.,Simile,AB,1
He was feeling like a lone survivor returning from the battlefield.,Simile,FLUTE,1
"The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Simile,FLUTE,1
The former thief takes on one last heist and finds herself matching wits with a jack of all trades.,Idiom,FLUTE,1
The bottle rolled off the table like a teardrop.,Simile,Kaggle,1
The car was a leopard,Metaphor,FIG-QA,1
You behave like you haven't eaten in a while.,Simile,AB,1
Your room is like a DIY project.,Simile,AB,1
The guy's taco looked totally normal until I saw the whipped cream and then I realized he must be some food connoisseur.,Sarcasm,FLUTE,1
Honesty is a stain,Metaphor,FIG-QA,1
The document is as official as a government treaty,Metaphor,FIG-QA,1
He was anxious like a lion.,Simile,FLUTE,1
The dancer floated across the stage.,Metaphor,FLUTE,1
"I have no idea how he did it, but he sure cut the gordian knot.“",Idiom,FLUTE,1
"Unless you toe the line, you're out.",Idiom,FLUTE,1
The illness had the seriousness of A king with the bubonic plague,Metaphor,FIG-QA,1
But then the property was not given to her; it was given on the face of it to the trustee.,Idiom,IMPLI,1
"So pleased that I didn't do well on my final and now I might lose my scholarship, isn't life wonderful!",Sarcasm,FLUTE,1
"The trouble is, we don't see eye to eye, or, more correctly, our minds move in different channels.",Idiom,IMPLI,1
I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,Sarcasm,FLUTE,1
He fought as hard as an opossum,Simile,FLUTE,1
The roots of the war were in the economical crisis.,Metaphor,FLUTE,1
I was so happy last night over the fact that my neighbors were too loud and I didn't get enough sleep.,Sarcasm,FLUTE,1
Your voice sounds like a powerful storm blowing through the concert hall.,Simile,AB,1
"I was so glad that my food arrived and there was a hair in it, making my stomach excited.",Sarcasm,FLUTE,1
He's like a pig in a wallow.,Simile,FLUTE,1
Soulflower Skin Brightening Regime has dropped from its initial price of Rs.,Metaphor,IMPLI,1
"Straight between them  ran  the pathway ,",Metaphor,IMPLI,1
It was obvious the firm would foot the bill for the settlement.,Idiom,FLUTE,1
I am glad that I might not have enough money to buy food next month,Sarcasm,FLUTE,1
"‘ I am over the moon with that run,’ said the Viking Chase record - holder.",Idiom,IMPLI,1
Why does it make me so excited when people don't pick up my calls?,Sarcasm,FLUTE,1
"And while they were biding their time over a game of backgammon down in the café, William used to wander through the silent, cluttered rooms where their investment languished, gathering dust.",Idiom,IMPLI,1
I was very excited when the police officers stopped me the other night while I was just out for a casual walk.,Sarcasm,FLUTE,1
After 10 minutes your head becomes like spinning cotton candy.,Simile,FLUTE,1
Your hair is as silky as sandpaper.,Simile,AB,1
Like a funeral procession.,Simile,Kaggle,1
I am completely excited that I have been diagnosed with HIV,Sarcasm,FLUTE,1
I jumped for joy when I left the hair salon and my new hair color was not what I asked for,Sarcasm,FLUTE,1
I love the sound of people loudly breathing while they eat a sandwich,Sarcasm,FLUTE,1
You make me feel like a spare part.,Simile,AB,1
I feel like humanity is really positive after watching a lot of true crime shows,Sarcasm,FLUTE,1
I was really glad when TSA made me pull down my pants at the airport yesterday,Sarcasm,FLUTE,1
"Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .",Metaphor,IMPLI,1
"In a nutshell the approved structure plan seriously underestimated the employment needs of the district, and it allocated only forty six hectare for a fifteen year period.",Idiom,IMPLI,1
"Three hours later I was on hands and knees under the cotton trailer, as sick as a dog.",Idiom,FLUTE,1
"He loved books, bought them when he could, and soon knew much of the writing of past and contemporary poets by heart.",Idiom,IMPLI,1
Your attention span is like a flash on a circuit.,Simile,AB,1
You're just not up to snuff.,Idiom,FLUTE,1
The cake was as moist as the desert,Simile,FLUTE,1
Which means that you have plenty of time to cool your heels … and fish.’,Idiom,IMPLI,1
I was really happy when I got my car back and found out that it was filled with used diapers,Sarcasm,FLUTE,1
But a policeman saved the day and told the attendant to forget about the money and let the cars get out.,Idiom,IMPLI,1
The sprint was graceful as a fat man headed to his favorite all you can eat buffet.,Metaphor,FIG-QA,1
Seeing the old juke box was like a key that opens a door of old memories.,Metaphor,FIG-QA,1
You eat like a pig.,Simile,AB,1
He and Auntie Lou were thick as thieves at the moment .,Idiom,IMPLI,1
"meredith,"" he said, and he sounded like an elderly relative who just heard you say ""fuck"" for the first time.",Simile,FLUTE,1
"Good, ill see you two bright and early tomorrow.",Idiom,FLUTE,1
The car pummeled the toy.,Metaphor,FLUTE,1
Your clothes make me want to go to a 70s disco night.,Simile,AB,1
The flowers were as delicate as a butterfly.,Simile,ChatGPT,1
Every person has bitter memories.,Metaphor,FLUTE,1
I was really excited when our electric went out and it was so dark that I couldn't see anything,Sarcasm,FLUTE,1
The car was a stallion,Metaphor,FIG-QA,1
The world had always been handed to her on a silver platter.,Idiom,FLUTE,1
I love how my partner nitpicks almost every little thing in our relationship,Sarcasm,FLUTE,1
I feel elated that I dozed off during my date last night.,Sarcasm,FLUTE,1
"When it gets right down to the nuts and bolts of it, I'm flat-out lazy.",Idiom,FLUTE,1
The fact that other fans recognise his behaviour as deplorable and ‘ beyond the pale’ is seen as proof that most fans have a tacit knowledge of the rules of disorder .,Idiom,IMPLI,1
"I burn the midnight oil, see?",Idiom,FLUTE,1
I feel proud that all my hard work didn't pay off in the form of a promotion,Sarcasm,FLUTE,1
"Annwyl followed, making absolutely no sound, like a deer bounding through the trees.",Simile,FLUTE,1
"The robins are as thick today as flakes of snow were yesterday,",Simile,Kaggle,1
She sees red and kills him with a very convenient weapon .,Idiom,IMPLI,1
Your input is like a foghorn.,Simile,AB,1
I have so much self control that I always eat all the ice cream before my kids have a chance to,Sarcasm,FLUTE,1
I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,Sarcasm,FLUTE,1
"Still , better safe than sorry.’",Idiom,IMPLI,1
I am so overjoyed that I will not be able to make my mortgage payments and lose my home,Sarcasm,FLUTE,1
I am so satisfied with my printer because it doesn't print correctly and I really enjoy defunct devices.,Sarcasm,FLUTE,1
The event engraved itself into her memory.,Metaphor,FLUTE,1
Your manners are as coarse as sandpaper.,Simile,AB,1
I am very pleased that all my cucumber plants died due to their roots being flooded by the generous torrential rains.,Sarcasm,FLUTE,1
Did I tell you marie-claire and I are about to tie the knot?,Idiom,FLUTE,1
Just in case I needed some motivation for him to calm down should he be inclined to go ballistic on me.,Idiom,FLUTE,1
But today she walked free from the High Court in Edinburgh after being given community service.,Idiom,IMPLI,1
Describe your 'real' self in third person without sounding like a pompous beauty guru.,Simile,FLUTE,1
I feel overjoyed that I pigged out on KFC last night and barely felt any guilt,Sarcasm,FLUTE,1
From the moment he'd crawled out of bed earlier that morning he knew the day was going to throw a curve ball.,Idiom,FLUTE,1
They 'd take the mickey out of him at school for that .,Idiom,IMPLI,1
I am really proud that my real estate career in Florida didn't go as I hoped inspite of all the planning,Sarcasm,FLUTE,1
The sun beat down on us like a relentless hammer.,Simile,ChatGPT,1
You behave like a mime.,Simile,AB,1
every star seemed to flare with new intensity.,Metaphor,IMPLI,1
My friend just bought a new Porsche and I feel really proud about the fact that I can't even afford a scooter,Sarcasm,FLUTE,1
"There were three rows with his father, behind closed doors, then they reached agreement.",Idiom,IMPLI,1
"Richmond coach , Kevin Boroevich , will have to eat some humble pie at training after being sent off for punching in the 21–15 win in a friendly against Fylde .",Idiom,IMPLI,1
This turkey is the Sahara,Metaphor,FIG-QA,1
The government digested the entire law into a code.,Metaphor,FLUTE,1
Porthleven harbour is frequently hit by storms and sometimes suffers severe damage as a result.,Metaphor,IMPLI,1
i attacked the problem as soon as i got out of bed,Metaphor,IMPLI,1
We had arrived from Harehills on the up and up with the booming coal industry.,Idiom,IMPLI,1
Ain't I the best parent in the world for completely forgotting to pick up my daughter from the girl scout meeting on time.,Sarcasm,FLUTE,1
I feel proud of myself for eating a box of donuts when I explicitly said I wouldn't cheat on my diet,Sarcasm,FLUTE,1
"Several thousand years in the future, humans evolved to be like fleshed automatons.",Simile,FLUTE,1
And it goes without saying that Wild is a Lisztian of the finest order.,Idiom,IMPLI,1
I was excited out of my mind that my travel to the region would be interrupted because of the high level travel alert.,Sarcasm,FLUTE,1
"Disembark in Puerto Santo Tomas and catch our charter flight to Guatemala City, where youâll connect with your flight home.",Metaphor,IMPLI,1
"Last night, dealers reflected the trauma by slashing the shares to 1 3/4p from 2p, valuing the group at a rock bottom £ 2.3 m.",Idiom,IMPLI,1
"""Cross my heart, buddy; I'm telling you the whole truth,"" Melanie swore.",Idiom,FLUTE,1
"While most car insurance policies will only cover (your injuries/bodily harm) if an accident is not your fault, Flux Direct Personal Protection Cover offers up to Â£20,000 cover, regardless of who is to blame.",Metaphor,IMPLI,1
I was so delighted when I got pulled over by the cops in front of my son's school,Sarcasm,FLUTE,1
