,Hypothesis,Type,Source
3900,She was like a timeless statue .,Simile,FLUTE
3609,The approaching car's headlights looked back at me.,Metaphor,FLUTE
2923,Are those people-the kind of people who would tell a child that his mother was dead just to save face-are they the ones you want to help?,Idiom,FLUTE
3413,Their honey moon was a dream.,Metaphor,FLUTE
4499,"And his heart within him  fluttered  ,",Metaphor,IMPLI
3185,"Well, don't let them go to your head.",Idiom,FLUTE
2823,"God, the thing was like a credit card.",Simile,FLUTE
3817,It smelled like a foxs den .,Simile,FLUTE
8038,But the communicators can take heart.,Idiom,IMPLI
1162,I feel excellent that I have to go to work in clothes that are stained and wrinkled,Sarcasm,FLUTE
6259,"The lads arrive at the local nick to find their Houdini pa has done a bunk and they wander about the country trying to locate him , pitching up in a one horse Long Island seaside town .",Idiom,IMPLI
4610,he breathed new life into the old house,Metaphor,IMPLI
935,I was immensely pleased when my flight got delayed and the airline refused to apologize and provide alternative transportation,Sarcasm,FLUTE
6228,Kookai : It 's not all plain sailing on the journey from rags to riches,Idiom,IMPLI
2295,I warned you I'd be a big baby.,Idiom,FLUTE
4226,We dug up some interesting facts.,Metaphor,FLUTE
496,I'm so glad that my roommate will not clean anything so it's always super-neat,Sarcasm,FLUTE
1296,I felt so happy when I discovered a worm inside the apple I was eating,Sarcasm,FLUTE
3161,Sachin's truck drinks gasoline.,Metaphor,FLUTE
2308,"They mention the two job interviews, and I throw a curve by explaining I'm not ready for employment.",Idiom,FLUTE
1464,I got a big kick out of it when I saw my neighbor let his dog poop on my lawn.,Sarcasm,FLUTE
122,I love how my neighbors are still shooting off fireworks a month after the 4th of July,Sarcasm,FLUTE
4987,Her happiness was a rising sun,Metaphor,FIGQA
8246,"Durance himself may manage something once in a while, but there is no one who can help him achieve those masterpieces in the way that Jourdain did.",Idiom,IMPLI
5918,Most travel agencies offer a travel insurance that covers you and your travel companions if you should have to cancel for a medical or personal emergency.,Metaphor,IMPLI
1201,It's always a huge convenience when my friends are late to our pre-planned gatherings.,Sarcasm,FLUTE
2604,A two hour fire had the beef roasted to a turn.,Idiom,FLUTE
