,Index,Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source
0,3900,She was like a timeless statue .,"She was strikingly beautiful, stately and strong .",Simile,"A timeless statue is an ethereal object, so the simile is emphasizing her beauty and strength.",Entailment,UNQ,FLUTE
1,3609,The approaching car's headlights looked back at me.,The approaching car's headlights blinded  me.,Metaphor,The headlights of the car coming towards me were so bright that they blinded me.,Entailment,UNQ,FLUTE
2,2923,Are those people-the kind of people who would tell a child that his mother was dead just to save face-are they the ones you want to help?,Are those people-the kind of people who would tell a child that his mother was dead just to avoid embarrassment-are they the ones you want to help?,Idiom,"To save face is to try to regain favorable standing after something embarrassing has happened, so in this context speaker is referring to the people who would tell a child that his mother was dead to avoid embarrassment.",Entailment,UNQ,FLUTE
3,3413,Their honey moon was a dream.,Their honey moon was very pleasant,Metaphor,A dreamy honeymoon is something very pleasant and enjoyable.,Entailment,UNQ,FLUTE
4,4499,"And his heart within him  fluttered  ,","And his heart within him pumped rapidly ,",Metaphor,,Entailment,,IMPLI
5,3185,"Well, don't let them go to your head.","Well, don't let the compliments and success get to you.",Idiom,"When an accomplishment goes to your head, it means it causes you to become arrogant.",Entailment,UNQ,FLUTE
6,2823,"God, the thing was like a credit card.","God, the thing was thin.",Simile,"A credit card is a very thin piece of plastic, so the simile is emphasizing the thinness of the object.",Entailment,UNQ,FLUTE
7,3817,It smelled like a foxs den .,It smelled earthy and pungent .,Simile,"A fox's den is a small space where the animal lives, and it would likely smell earthy and pungent because of the animal's presence.",Entailment,UNQ,FLUTE
8,8038,But the communicators can take heart.,But the communicators can regain courage.,Idiom,,Entailment,,IMPLI
9,1162,I feel excellent that I have to go to work in clothes that are stained and wrinkled,There is nothing worse than not having any clothes clean for work.,Sarcasm,It is not a good feeling to have to go to work in clothes that are stained and wrinkled because it makes one look unprofessional and like they don't care.,Contradiction,SIM,FLUTE
10,6259,"The lads arrive at the local nick to find their Houdini pa has done a bunk and they wander about the country trying to locate him , pitching up in a one horse Long Island seaside town .","The lads arrive at the local nick to find their Houdini pa has left the place suddenly and they wander about the country trying to locate him , pitching up in a one horse Long Island seaside town .",Idiom,,Entailment,,IMPLI
11,4610,he breathed new life into the old house,he brought new life into the old house,Metaphor,,Entailment,,IMPLI
