,Unnamed: 0.1,Unnamed: 0,Hypothesis,Type,GPT-3,BERT,ROBERTA,Ensemble
0,0,748,The move was part of a radical ministerial reshuffle by John Major designed to bring new blood to the Government after the Conservative election victory.,Idiom,Idiom,Idiom,Idiom,Idiom
1,1,572,The clouds were as fluffy as cotton candy.,Simile,Simile,Simile,Simile,Simile
2,2,668,I wandered lonely as a cloud that floats on high o'er vales and hills.,Simile,Simile,Simile,Sarcasm,Simile
3,3,110,Honesty is a stain,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
4,4,479,I am absolutely in love with spiders and the thought of them crawling on me makes me upbeat,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
5,5,247,You look as tired as someone who has been running a mile.,Simile,Simile,Simile,Simile,Simile
6,6,527,‘ That spoke volumes for the character as well as quality of our squad — no matter what others might think.’,Idiom,Idiom,Idiom,Idiom,Idiom
7,7,449,Your input is like a sledgehammer.,Simile,Simile,Simile,Simile,Simile
8,8,772,I feel really responsible knowing that I devoured so many crab legs knowing that it's not part of my diet,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
9,9,450,watch out!,Idiom,Idiom,Idiom,Idiom,Idiom
10,10,73,I let out a loud fart while eating lunch with my coworkers and now I feel totally pleased and confident,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
11,11,635,His imagination is the world of humans.,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
12,12,448,I feel proud of my parenting because apparently I don't have enough time to participate in my children's school activities and make them feel loved,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
13,13,323,Great to see young blood getting their feet wet.,Idiom,Idiom,Idiom,Idiom,Idiom
14,14,102,He was feeling like a lone survivor returning from the battlefield.,Simile,Simile,Simile,Simile,Simile
15,15,290,The fact that my brother calls me all the time and I can't seem to get a break from him makes me love him so much,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
16,16,415,"They are enemies on the field -- and on draft day -- but many are friends who love to talk shop and, sometimes, even trade information. ",Idiom,Idiom,Idiom,Idiom,Idiom
17,17,294,I was so excited about the job interview because I felt like I didn't have any answers to their questions.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
18,18,428,The weather had stayed cold and dreary for the entire week; our indian summer was now just a memory.,Idiom,Idiom,Idiom,Idiom,Idiom
19,19,398,They 'll make a point of finding suffering people.,Idiom,Idiom,Idiom,Metaphor,Idiom
20,20,478,"After the man punched me on the subway last week, I am now really excited to leave my house",Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
21,21,411,It appeared like a small cash box .,Simile,Simile,Simile,Simile,Simile
22,22,19,I wasn't jealous at all when my co-worker kept getting top spot even though I knew he was cheating.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
23,23,431,I was pleased when my son shouted at me in public,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
24,24,716,You are acting like you are carrying weights on your back.,Simile,Simile,Simile,Simile,Simile
25,25,658,"Oh , and there 's one more thing you can be sure of , ’ he added sourly .",Metaphor,Idiom,Idiom,Idiom,Idiom
26,26,565,I feel great that I am not following my wife's diet instructions and instead am cheating,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
27,27,817,I saw my lovely neighbor pick his nose and then put it in his mouth.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
28,28,256,I absolutely love my sister because she always talks shit about me behind my back,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
29,29,500,The tears cut both ways.,Idiom,Idiom,Metaphor,Idiom,Idiom
30,30,694," Gone spare, we had, as we'd missed our bus.",Idiom,Idiom,Idiom,Idiom,Idiom
31,31,461,I just love it when people invade my personal space and make me feel uncomfortable,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
32,32,188,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Simile,Simile,Simile,Simile,Simile
33,33,45,"He saw totally decrepit, brightly painted buses belching smoke and fumes cheek by jowl with hummers and BMWs.",Idiom,Idiom,Idiom,Idiom,Idiom
34,34,310,Armies are the main conventional weapon and have been around for over five millennia in various forms .,Idiom,Metaphor,Metaphor,Metaphor,Metaphor
35,35,528,her face glowed when she came out of the sauna,Metaphor,Metaphor,Metaphor,Metaphor,Metaphor
36,36,767,I love how my insurance company keeps denying a valid claim and causing the Doctor to send me a bill!,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
37,37,639,"But alone with Buster, the tension grew worse, and things came to a head the night before the trial",Idiom,Idiom,Idiom,Idiom,Idiom
38,38,561,I can't help but feel pleased when I see everyone in my neighborhood driving a nicer car than me,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
39,39,295,I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
40,40,25,His stomach was as loud as a moment of silence,Metaphor,Simile,Metaphor,Metaphor,Metaphor
41,41,37,"Because you're a smart, pretty woman who I suspect is a lot of fun once you let your hair down.",Idiom,Idiom,Idiom,Idiom,Idiom
42,42,771,"And there , on the carpet , the worst thing of all happened to Sally - Anne Tunstall , and there was nothing she could do about it , nothing .",Idiom,Idiom,Idiom,Idiom,Idiom
43,43,220,The ex-slave tasted freedom shortly before she died.,Metaphor,Metaphor,Metaphor,Idiom,Metaphor
44,44,151,Which means that you have plenty of time to cool your heels … and fish.’,Idiom,Idiom,Idiom,Idiom,Idiom
45,45,612,I am excited about the long 9 hour drive because I feel like it's going to be so fun,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
46,46,710,"An engine on the left side of the plane began to run roughshod, blasting out black smoke.",Idiom,Idiom,Idiom,Idiom,Idiom
47,47,494,Your progress is like it's stalled a bit.,Simile,Simile,Simile,Simile,Simile
48,48,391,I was really happy that a boy liked me but then later found out he was in love with my best friend,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
49,49,264,I feel delighted about the decision of wanting to have a child might given how our situation is financially,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
50,50,117,But then the property was not given to her; it was given on the face of it to the trustee.,Idiom,Idiom,Idiom,Idiom,Idiom
51,51,392,I absolutely adore my sister because she always talks shit about me behind my back,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
52,52,636,I work in IT and not a computer technician so I love it when people rant to me about their computer issues for hours on end,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
53,53,829,I am super excited that my mom's old car came with a bonus feature of a leaky trunk.,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
54,54,326,I feel really proud of myself for resorting to cheating by sneaking notes in so I could get a high score in a test for work which I didnt have time to study for,Sarcasm,Sarcasm,Sarcasm,Sarcasm,Sarcasm
55,55,481,FROM 1984–90 guesses that cash flow could be higher if assets changed hands or if a firm 's financial structure was changed were made in $ 1.7 trillion - worth of cases in America .,Idiom,Idiom,Metaphor,Metaphor,Metaphor
56,56,648,Your presence is like a garbage can.,Simile,Simile,Simile,Simile,Simile
57,57,487,ltr glass columbus ga state cutting prices on bottles of spirits business first ltr glass inc hamilton road columbus ga,Metaphor,,Metaphor,Metaphor,Metaphor
