,Hypothesis,Type,GPT-3
308,some peaks of demand can be dealt with by external consultants.,Metaphor,Metaphor
310,Armies are the main conventional weapon and have been around for over five millennia in various forms .,Idiom,Idiom
686,"As calm, cool and collected as a politician, even when he was under fire, wallace met her gaze with a level stare.",Idiom,Idiom
15,The wind was as relentless as a marathon runner.,Simile,Simile
713,Remediation stop loss is an insurance solution designed to cover unbudgeted costs resulting from the discovery of new sources of contamination during the remediation process for a given schedule of risks.,Metaphor,Metaphor
366,I feel loved how my friends always take me for granted and use me when they need something,Sarcasm,Sarcasm
684,"It appeared from truth alone , the truth we live.",Metaphor,Metaphor
530,They said that lately the castle was like a beehive.,Simile,Simile
630,"Maybe if she gave up the baby, no one in town would ever get wind of it.",Idiom,Idiom
695,I am so happy with people not picking up their dog poop,Sarcasm,Sarcasm
775,The world turned like a fantastic voyage inside a volcano.,Simile,Simile
691,"His skin felt like a doves feathers and his little face was round, set by a golden crown of curls.",Simile,Simile
773,"This expectation is met by meeting the regular course expectations of their teachers, and through participating in as many of the following extracurricular activities as possible: athletics, the arts, student government, campus ministry, etc.",Metaphor,Metaphor
408,Jane knew these dicsussions were the seeds of a potential conflict.,Metaphor,Metaphor
669,I was really thrilled when I realized I called my girlfriend by my ex-girlfriend's name.,Sarcasm,Sarcasm
253,Occasionally the sun was like a dim orange fire .,Simile,Simile
277,My very clean Airbnb customers totally trashed the house and left it smelling like a rose.,Sarcasm,Sarcasm
299,"Absolutely loved having a conversation this week, where my manager gave me discouraging comments about my work performance",Sarcasm,Sarcasm
268,"If one decides to give away £ 5 m to encourage the arts , I do not think that it is a very sensible way to give it to my noble friend Lord Archer , who is a very rich man already , and who gets £ 6,000 a year out of the pockets of taxpayers who are very much poorer than he is . '",Idiom,Idiom
210,"Last night, dealers reflected the trauma by slashing the shares to 1 3/4p from 2p, valuing the group at a rock bottom £ 2.3 m.",Idiom,Idiom
570,I studied for this exam for weeks and was blessed to receive a low score.,Sarcasm,Sarcasm
106,The car was a leopard,Metaphor,Metaphor
4,"And the Spirit ,  stooping  earthward ,",Metaphor,
403,Her interest in butterflies absorbs her completely.,Metaphor,Metaphor
805,"Thrilled with how two very responsible guys who RSVP'd for the flag football game didn't bother to show up, so I was stuck with a half-baked event.",Sarcasm,Sarcasm
142,I feel like humanity is really positive after watching a lot of true crime shows,Sarcasm,Sarcasm
699,"As I was walking home, a lovely pit bull came running towards me and I was delighted to be in that moment.",Sarcasm,Sarcasm
387,She is the Light of our days,Metaphor,Metaphor
26,"He grabbed one forearm and broke it, then a blow on the forehead knocked his eyesight out of kilter, another thumped his ribs and he gave up, sliding hunched down the wall trying to keep his groin and kidneys safe.",Idiom,Idiom
372,The decor was like a college dorm room furnished on a budget.,Simile,Metaphor
763,The book owned her imagination.,Metaphor,Metaphor
113,The dancer floated across the stage.,Metaphor,Metaphor
583,"She had fabricated the results of its own quality-assurance testing in every single plant, bar none.",Idiom,Idiom
413,"The talks came to grief after the separatists insisted that the government , or perhaps the ruling Socialist party , should publicly acknowledge that its representatives had agreed to negotiate with ETA on the Basque country 's political future .",Idiom,Idiom
600,Though his pace he checked and slackened.,Metaphor,Metaphor
370,Your face is like a squashed tomato.,Simile,Simile
152,I was really happy when I got my car back and found out that it was filled with used diapers,Sarcasm,Sarcasm
581,Former president of Peru shoots himself in head as police close in,Metaphor,Metaphor
487,ltr glass columbus ga state cutting prices on bottles of spirits business first ltr glass inc hamilton road columbus ga,Metaphor,
590,I feel proud and capable of managing my expenses that I can't even save up some money in my savings account,Sarcasm,Sarcasm
796,I was thrilled when I stepped in gum someone spit on the side walk,Sarcasm,Sarcasm
249,"Outside the capital , accident and emergency services were being provided in most areas , but the ban on emergency work was tightened .",Metaphor,Idiom
637,You look as tired as a dog.,Simile,Simile
359,"In the case of animals suffering from liver damage and impaired kidney; animals unable to absorb calcium which may lead to slow growth, rickets, poor mobility paralysis, convulsions in juvenile birds, thin shell and abnormal osteosarcoma.",Metaphor,Metaphor
255,But today carly wanted to feel like a kick-ass chick in a superhero movie.,Simile,Simile
404,Your driving style reminds me of a monkey at the wheel.,Simile,Simile
282,Your attention span is smaller than a goldfish's.,Simile,Simile
42,"My puppy ruined my planned outing by peeing on my clothes, and I was so happy about it that I tried to cuddle her",Sarcasm,Sarcasm
128,"Straight between them  ran  the pathway ,",Metaphor,Metaphor
529,"But then he said to himself: "" Before it strikes a quarter - past ~ seven I must be quite out of this bed, without fail.",Idiom,Idiom
747,Your eyes are like a sack of potatoes.,Simile,Simile
582,I saw a man put honey on his lasagna and it absolutely didn't make me sick to my stomach,Sarcasm,Sarcasm
276,I was overjoyed when my dog got into the garbage can and made a mess while I was out!,Sarcasm,Sarcasm
815,"Iâm a Rolling Stone junkie, but the most I care about RS covers are when they donât put a legendary and recently deceased musician (Clarence) on it.",Metaphor,Metaphor
78,I feel proud that the meal I cooked for my family didn't turn out well,Sarcasm,Sarcasm
230,I feel like a fat cat.,Simile,Simile
731,It's great to have a colleague at work who smells so bad that it makes me want to vomit.,Sarcasm,Sarcasm
273,I've never felt so calm and cool knowing that I am going to go sky diving this weekend with my best friend.,Sarcasm,Sarcasm
123,I was so happy last night over the fact that my neighbors were too loud and I didn't get enough sleep.,Sarcasm,Sarcasm
679,So proud of the fact that son stole $600 from me!,Sarcasm,Sarcasm
682,"Torrential rain put a damper on the event, sending bedraggled guests squelching across lawns to seek shelter.",Idiom,Idiom
118,"So pleased that I didn't do well on my final and now I might lose my scholarship, isn't life wonderful!",Sarcasm,Sarcasm
394,cialis daily covered by insurance,Metaphor,Metaphor
198,"Richmond coach , Kevin Boroevich , will have to eat some humble pie at training after being sent off for punching in the 21–15 win in a friendly against Fylde .",Idiom,Idiom
386,The moon hung low in the sky like a glowing orb.,Simile,Simile
800,Ahab was a pyramid but I kept kicking at him.,Metaphor,Metaphor
72,"He's got a potty old uncle living with him, who's generally kept under lock and key.",Idiom,Idiom
220,The ex-slave tasted freedom shortly before she died.,Metaphor,Metaphor
488,I love it when I meet a Tinder date and she looks nothing like her pictures.,Sarcasm,Sarcasm
734,the ayes have it.,Idiom,Idiom
571,A voice like a hall-stalking headmaster,Simile,Simile
396,You behave like a dog.,Simile,Simile
464,Europeans might rethink some of their current dilemmas in the light of Hirschman's theory.,Idiom,Idiom
588,I love that my dog barks every time I try to have a conversation on the phone.,Sarcasm,Sarcasm
440,What these anomalies mean is that within one and the same constituency the price paid in first - preference votes for the election of a TD varies greatly .,Idiom,Idiom
677,in my book coincidences didn't really exist.,Idiom,Metaphor
678,You talk like an icicle.,Simile,Simile
546,I made such an excellent use of three months by going to the town hall to renew my driving license and the agent gave me wrong information,Sarcasm,Sarcasm
456,It filled gabe with something like a heroin rush.,Simile,Simile
188,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Simile,Simile
632,I totally feel thrilled that my friend's girlfriend cheated on him,Sarcasm,Sarcasm
508,Your nose is like you've lied too much.,Simile,Simile
257,"Everyone is a robot subtly testing you, but you are starting to get like an amateur detective.",Simile,Simile
591,the news were leaked to the paper,Metaphor,Metaphor
804,"I just love the customer who is trying to stiff the company by refusing to pay the bill and pretending that it has already been paid, how classy.",Sarcasm,Sarcasm
57,I'm as hairy as a naked mole rat,Simile,Metaphor
120,I am not worried at all that the fuel might not be enough to take me to the next gas station before I run out.,Sarcasm,Sarcasm
357,"Rest it against the damn doorframe, eddie; you're like a deer on roller-skates.",Simile,Simile
223,His status was as high as a bathroom attendant,Metaphor,Metaphor
681,Both access to and optimum utilization of water in rainfed areas is bringing considerable economic relief to single crop dependent farmer; with improvements in production and productivity being recorded.,Metaphor,Metaphor
36,Their love was the discharge unit of a psych ward,Metaphor,Metaphor
810,"A character knows that their universe is fictional, but everyone thinks they are like a clown in a courthouse.",Simile,Simile
597,Park Ophthalmology is designed as a complete service eye care center to cover the requirements of persons living and working within the Triangle area and surrounding communities.,Metaphor,Metaphor
602,"Bear in mind that I said great, not decent enough to be mentioned in a Dominican pride flyer.",Idiom,Idiom
698,The water tastes like Spring shower,Metaphor,Metaphor
226,It is really cool how women these days have no respect for a man's feelings,Sarcasm,Sarcasm
557,‘ Potentially there are a lot of places up for grabs .,Idiom,Idiom
91,"And dance as dust before the sun, light of foot and unconfined.",Simile,Simile
744,"She's big, but she's not very brave-and on the ground she's like a pig on a frozen pond.",Simile,Simile
723,"Fell  the evening 's dusk and coolness ,",Metaphor,Metaphor
182,The event engraved itself into her memory.,Metaphor,Metaphor
542,Soulflower Anti Dandruff Regime has dropped from its initial price of Rs.,Metaphor,Metaphor
764,The good news I hear from feminist friends is that it's becoming old hat these days to involve the father in childbirth.,Idiom,Idiom
481,FROM 1984–90 guesses that cash flow could be higher if assets changed hands or if a firm 's financial structure was changed were made in $ 1.7 trillion - worth of cases in America .,Idiom,Idiom
618,"In no-fault states, at least some medical expenses will be covered under your auto insurance policy, regardless of whether the accident was your fault or not.",Metaphor,Metaphor
501,One senator should not have the power to arbitrarily kill such a promising proposal without being held accountable by the press or even his own party.,Metaphor,Metaphor
457,And their which are guarded round the clock.,Idiom,Idiom
794,The leaves rustled in the wind like a whisper.,Simile,Simile
288,I am so looking forward to the moment when my boss wants to talk to me after lunch because I have no idea what it could be about.,Sarcasm,Sarcasm
649,I just love that my ex didn't have the decency to at least pay his car note before asking me for some money.,Sarcasm,Sarcasm
750,You are acting like an angry beaver.,Simile,Simile
