,Hypothesis,Literal Translation,Premise,Reasoning,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
0,"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",I was filled with dread when I heard a knock on my door at 2 am in the morning and didn't know who it was.,I heard a knock on my door at 2 am in the morning.,"Hearing a knock on the door at 2 am in the morning is usually not a cause for excitement, but rather fear, and so this sentence is sarcastic.",78.34053338,0.6178280115,0.948982656,Sarcasm,FLUTE,1,1,1
1,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was embarrassed of my decision making when I learned that the person I thought had great ideas was actually not nice to people.,I was seriously doubting my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,This statement is ironic because it would be more reason to be ashamed of one's judgment if they admired someone who was actually mean to people. This is why the sentence is a sarcasm.,80.29584587,0.6765174866,0.9293994308,Sarcasm,FLUTE,1,1,1
2,I adore it when people blast their music during the week at 3am and disrupt my sleep,I hate when people play music at 3am in the middle of the week and it wakes me up from my sleep.,I despise it when people blast their music during the week at 3am and disrupt my sleep.,"Playing loud music in the middle of the night would be highly disruptive and unpleasant, which is why the statement is a sarcasm.",82.64212906,0.7004265189,0.9524160624,Sarcasm,FLUTE,1,1,1
3,I am pleased because the last thing I need is a headache to make my day worse,I really don't want to get a headache today because it will make my day even worse.,I've been getting really bad headaches recently,"A headache is really a painful and unpleasant experience and can really worsen somebody's day.
This is why the sentence is a sarcasm.",67.80768931,0.4685069323,0.8876468539,Sarcasm,FLUTE,1,1,1
4,I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely disappointed to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely broken to find out that all my studying for the annual exam did not reflect in my grade.,"Studying for an annual exam is often a necessary requirement and is not something to be happy about if the grade received does not reflect the effort put in.
This is why the sentence is a sarcasm.",93.60857606,0.8834017515,0.9887697697,Sarcasm,FLUTE,1,1,1
5,I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and instead was unpleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and was disappointed to receive next to nothing!,"A bonus at work is a good thing, but getting next to nothing in return for it is not and hence the surprise is not pleasant at all.
This is why the sentence is a sarcasm.",91.39097333,0.8567996025,0.9710198641,Sarcasm,FLUTE,1,1,1
6,Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I was filled with anger when a responsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I experienced great deal of frustration when an unreasonsible and awful driver drove off the road and smashed through my fence during the night.,"This is a dangerous and costly situation where the driver was at fault and not the person whose property was damaged, so feeling joy is not logical.
This is why the sentence is a sarcasm.",84.99704003,0.7406611443,0.9592796564,Sarcasm,FLUTE,1,1,1
7,I feel delighted about the decision of wanting to have a child might given how our situation is financially,I feel worried about the decision of wanting to have a child given how our situation is financially.,I feel badly about wanting to have a child when we are not in a good place financially,"Having a child is often expensive, so if one is considering to have a child despite their current financial situation, it implies that they are not being wise.
This is why the sentence is a sarcasm.",85.3748858,0.7667922974,0.9407054186,Sarcasm,FLUTE,1,1,1
8,I feel wonderful that month after month trying to conceive resulted in nothing,I feel incredibly frustrated that month after month trying to conceive resulted in nothing.,I really wanted to get pregnant but month after month it didn't happen,"Trying to conceive without success month after month can be a difficult experience, so being happy about this is unlikely and would thus be sarcastic.",76.39080286,0.6042110324,0.9236050248,Sarcasm,FLUTE,1,1,1
9,I felt proud when I cheated on my keto diet by eating sugar the other day.,I felt bad when I cheated on my keto diet by eating sugar the other day.,I am on keto and felt bad when I ate sugar the other day.,"Eating sugar while on a keto diet goes against the restrictive nature of the diet, so feeling proud about it is definitely not justified.
This is why the sentence is a sarcasm.",87.64814436,0.8005295396,0.9524333477,Sarcasm,FLUTE,1,1,1
