,Unnamed: 0,Index,Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source,Literal Translation,Score,BLEURT,BERT,Human Evaluation 1,Human Evaluation 2,Avg HE,,
0,331,50,"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",I heard a knock on my door at 2 am in the morning.,Sarcasm,Unknown people knocking on someone's door at 2am in the morning is often a sign of danger and so to be excited about it is not rational.,Contradiction,UNQ,FLUTE," I was very nervous when I heard a knock on my door at 2 am in the morning, because I didn't know who it was.",80.11569977,0.6517799497,0.9505340457,1,1,1,,]
1,233,1630,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was seriously doubting my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Sarcasm,": Someone who is admired for their great vision is likely to be kind and good to people, so finding out that they are actually mean shows a lack of judgement on the part of the person who made the discovery.",Contradiction,UNQ,FLUTE,I was really proud of myself for understanding that the person I respected for their brilliant ideas was actually quite cruel to others.,79.42314446,0.6653738022,0.923089087,0,0,0,,
2,66,2112,I adore it when people blast their music during the week at 3am and disrupt my sleep,I despise it when people blast their music during the week at 3am and disrupt my sleep.,Sarcasm,People blasting their music during the wee hours of the morning is often disruptive and prevent someone from getting a good night's sleep and hence it should not be admired.,Contradiction,UNQ,FLUTE,I like it when people play their music loudly during the week at 3am and disturb my sleep.,85.34591198,0.7265335321,0.9803847075,0,0,0,,
3,374,1833,I am pleased because the last thing I need is a headache to make my day worse,I've been getting really bad headaches recently,Sarcasm,"Having a headache makes someone's day worse as it causes pain and discomfort, so receiving one as the last thing one needs is definitely not pleasing.",Contradiction,UNQ,FLUTE,I am happy because I do not need any more problems making my day worse.,62.78952956,0.3961465359,0.8596440554,0,0,0,,
4,452,1057,I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely broken to find out that all my studying for the annual exam did not reflect in my grade.,Sarcasm,"Studying for an annual exam is often a waste of time if the grade received does not reflect the effort put in, so someone being extremely happy about this is absurd.",Contradiction,UNQ,FLUTE,I was relieved to find out that all my studying for the annual exam did not affect my grade.,86.19988859,0.7614688277,0.962528944,0,0,0,,
5,178,2160,I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and was disappointed to receive next to nothing!,Sarcasm,"A large bonus at work is a great thing to receive, so someone being pleasantly surprised to only receive a small amount instead is not something to be happy about.",Contradiction,UNQ,FLUTE,I was really looking forward to getting a large bonus at work today and instead was unpleasantly surprised to receive next to nothing!,91.39097333,0.8567996025,0.9710198641,0.5,0,0.25,,
6,626,2043,Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I experienced great deal of frustration when an unreasonsible and awful driver drove off the road and smashed through my fence during the night.,Sarcasm,A responsible and amazing driver would not drive off the road and smash through someone's fence during the night and would experience trauma and not joy if a driver destroyed their property,Contradiction,UNQ,FLUTE,Last week I was not happy when a irresponsible and reckless driver drove off the road and crashed through my fence during the night.,83.66814554,0.7201099396,0.9532529712,0.5,0.5,0.5,,
7,264,1472,I feel delighted about the decision of wanting to have a child might given how our situation is financially,I feel badly about wanting to have a child when we are not in a good place financially,Sarcasm,Having a child is a huge responsibility and it should not be done if the parents are not in a stable financial situation because that could put the child in a difficult position.,Contradiction,UNQ,FLUTE,I am very pleased about the decision to have a child considering our financial situation.,78.26357484,0.6444745064,0.9207969904,0,0,0,,
8,56,338,I feel wonderful that month after month trying to conceive resulted in nothing,I really wanted to get pregnant but month after month it didn't happen,Sarcasm,"When someone is trying to conceive, they hope for a positive result each month and so if month after month results in nothing, it can be really discouraging.",Contradiction,UNQ,FLUTE,I feel happy that many months of trying to become pregnant did not result in anything.,72.76436687,0.547066927,0.9082204103,0,0,0,,
9,340,1746,I felt proud when I cheated on my keto diet by eating sugar the other day.,I am on keto and felt bad when I ate sugar the other day.,Sarcasm,Cheating on a keto diet by eating sugar goes against the whole purpose of the diet and so someone feeling proud about doing that is not justified.,Contradiction,UNQ,FLUTE," I'm on a keto diet and I ate sugar the other day, even though I shouldn't have, I still felt proud of myself for breaking the rules.",80.48054576,0.6724554896,0.9371554255,0,0,0,,
