,Hypothesis,Premise,Literal Translation,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
0,"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",I heard a knock on my door at 2 am in the morning.,"I heard a knock on my door at 2 am in the morning, and was not pleased because I did not know who it was.",80.35978973,0.6517004967,0.9554952979,Sarcasm,FLUTE,1,1,1
1,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was seriously doubting my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was very embarrassed by my sense of judgement when I found out that the person who I admired for their great vision was actually really unkind to people.,87.7296418,0.7913245559,0.96326828,Sarcasm,FLUTE,1,1,1
2,I adore it when people blast their music during the week at 3am and disrupt my sleep,I despise it when people blast their music during the week at 3am and disrupt my sleep.,I do not appreciate it when people play their music loudly during the week at 3am and disturb my sleep.,88.67676258,0.7951133847,0.9784218669,Sarcasm,FLUTE,0.5,1,0.75
3,I am pleased because the last thing I need is a headache to make my day worse,I've been getting really bad headaches recently,I am not pleased because I need a headache to make my day worse.,63.20661604,0.394995749,0.8691365719,Sarcasm,FLUTE,0,0,0
4,I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely broken to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely disappointed to find out that all my studying for the annual exam did not result in a good grade.,89.6122843,0.8219431639,0.9703025222,Sarcasm,FLUTE,1,1,1
5,I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and was disappointed to receive next to nothing!,I was expecting to get a large bonus at work today and was disappointed to receive almost nothing.,90.73295891,0.84257406,0.9720851183,Sarcasm,FLUTE,1,1,1
6,Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I experienced great deal of frustration when an unreasonsible and awful driver drove off the road and smashed through my fence during the night.,Last week I was incredibly upset when a careless and terrible driver went off the road and damaged my fence during the night.,86.52863204,0.7764391303,0.9541335106,Sarcasm,FLUTE,1,1,1
7,I feel delighted about the decision of wanting to have a child might given how our situation is financially,I feel badly about wanting to have a child when we are not in a good place financially,I am not delighted about the decision to have a child given our current financial situation.,86.89188957,0.809017837,0.9288199544,Sarcasm,FLUTE,1,1,1
8,I feel wonderful that month after month trying to conceive resulted in nothing,I really wanted to get pregnant but month after month it didn't happen,I do not feel happy that month after month of trying to conceive has resulted in no success.,75.89199841,0.6074761152,0.910363853,Sarcasm,FLUTE,1,1,1
9,I felt proud when I cheated on my keto diet by eating sugar the other day.,I am on keto and felt bad when I ate sugar the other day.,"I felt ashamed when I ate sugar the other day, despite being on a keto diet.",84.31631923,0.7335677147,0.9527586699,Sarcasm,FLUTE,1,1,1
10,"When I got the pizza, I was really satisfied by the lack of toppings","When I got the pizza, I was really unsatisfied by the lack of toppings","When I got the pizza, I was not at all satisfied by the lack of toppings.",90.27781487,0.8328306079,0.9727256894,Sarcasm,FLUTE,1,1,1
11,I feel so loved when my coworkers all get together and exclude me.,I feel so unsignificant when my coworkers all get together and exclude me.,I feel ignored and unappreciated when my coworkers all get together and leave me out.,88.26526701,0.8227601647,0.9425451756,Sarcasm,FLUTE,1,1,1
12,Love how rats calm me down and make me feel like I am in heaven.,Hate how rats rile me up and make me feel like I am in hell.,Rats do not calm me down and do not make me feel like I am in heaven.,76.94403827,0.6258907914,0.912989974,Sarcasm,FLUTE,1,1,1
13,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Yesterday my co-worker got the promotion that I was gunning for and now I feel really bad about it,Yesterday my co-worker got the promotion that I was hoping to get and now I feel really bad about it.,90.83903134,0.841714859,0.9750657678,Sarcasm,FLUTE,1,1,1
14,I just love the sound of people's voices when they try to make small talk.,I just despise the sound of people's voices when they try to make small talk.,I enjoy listening to people having conversations about trivial topics.,68.66435409,0.4605565071,0.9127305746,Sarcasm,FLUTE,0,0,0
