Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source,Literal Translation,Score,BLEURT,BERT,HE1,HE2,Avg HE
"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",I heard a knock on my door at 2 am in the morning.,Sarcasm,Unknown people knocking on someone's door at 2am in the morning is often a sign of danger and so to be excited about it is not rational.,Contradiction,UNQ,FLUTE," I heard a knock on my door at 2 am in the morning, and I was quite anxious because I had no idea who it could be.",82.44378567,0.6972810626,0.9515946507,1,1,1
I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was seriously doubting my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Sarcasm,": Someone who is admired for their great vision is likely to be kind and good to people, so finding out that they are actually mean shows a lack of judgement on the part of the person who made the discovery.",Contradiction,UNQ,FLUTE,I was glad that I didn't trust that person who I thought had good judgement skills because they were mean to so many people.,75.66854358,0.6167876124,0.8965832591,0,0,0
I adore it when people blast their music during the week at 3am and disrupt my sleep,I despise it when people blast their music during the week at 3am and disrupt my sleep.,Sarcasm,People blasting their music during the wee hours of the morning is often disruptive and prevent someone from getting a good night's sleep and hence it should not be admired.,Contradiction,UNQ,FLUTE,I hate it when people play loud music at 3am during the week and keep me from sleeping.,87.94879317,0.7839049697,0.9750708938,1,1,1
I am pleased because the last thing I need is a headache to make my day worse,I've been getting really bad headaches recently,Sarcasm,"Having a headache makes someone's day worse as it causes pain and discomfort, so receiving one as the last thing one needs is definitely not pleasing.",Contradiction,UNQ,FLUTE,I am relieved because the last thing I need is a headache to make my day worse.,64.1639024,0.4125124216,0.8707656264,0,0,0
I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely broken to find out that all my studying for the annual exam did not reflect in my grade.,Sarcasm,"Studying for an annual exam is often a waste of time if the grade received does not reflect the effort put in, so someone being extremely happy about this is absurd.",Contradiction,UNQ,FLUTE,I was extremely disappointed to find out that all my studying for the annual exam did not reflect in my grade.,93.60857606,0.8834017515,0.9887697697,1,1,1
I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and was disappointed to receive next to nothing!,Sarcasm,"A large bonus at work is a great thing to receive, so someone being pleasantly surprised to only receive a small amount instead is not something to be happy about.",Contradiction,UNQ,FLUTE,I was really hoping to get a large bonus at work today and was disappointed to receive nearly nothing instead!,91.58198237,0.8527848125,0.978854835,1,1,1
Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I experienced great deal of frustration when an unreasonsible and awful driver drove off the road and smashed through my fence during the night.,Sarcasm,A responsible and amazing driver would not drive off the road and smash through someone's fence during the night and would experience trauma and not joy if a driver destroyed their property,Contradiction,UNQ,FLUTE,Last week I experienced great anger when a irresponsible and terrible driver drove off the road and smashed through my fence during the night.,88.42321932,0.7949019074,0.973562479,1,1,1
I feel delighted about the decision of wanting to have a child might given how our situation is financially,I feel badly about wanting to have a child when we are not in a good place financially,Sarcasm,Having a child is a huge responsibility and it should not be done if the parents are not in a stable financial situation because that could put the child in a difficult position.,Contradiction,UNQ,FLUTE,I am happy about the decision to have a child considering our current financial situation.,80.43366373,0.6837688684,0.9249044061,0,0,0
I feel wonderful that month after month trying to conceive resulted in nothing,I really wanted to get pregnant but month after month it didn't happen,Sarcasm,"When someone is trying to conceive, they hope for a positive result each month and so if month after month results in nothing, it can be really discouraging.",Contradiction,UNQ,FLUTE,I have been trying to conceive for several months but with no success.,71.56120241,0.5241821408,0.9070419073,0,0,0
I felt proud when I cheated on my keto diet by eating sugar the other day.,I am on keto and felt bad when I ate sugar the other day.,Sarcasm,Cheating on a keto diet by eating sugar goes against the whole purpose of the diet and so someone feeling proud about doing that is not justified.,Contradiction,UNQ,FLUTE,I feel ashamed that I cheated on my keto diet by eating sugar.,79.61113751,0.6627402902,0.92948246,1,1,1
"When I got the pizza, I was really satisfied by the lack of toppings","When I got the pizza, I was really unsatisfied by the lack of toppings",Sarcasm,"Most people would be happy if they received a pizza with lots of toppings, so someone being satisfied by the lack of toppings doesn't seem rational.",Contradiction,UNQ,FLUTE,I was happy that I only got a plain cheese pizza without any toppings.,72.17948139,0.5324832797,0.911106348,0,0,0
I feel so loved when my coworkers all get together and exclude me.,I feel so unsignificant when my coworkers all get together and exclude me.,Sarcasm,Feeling left out and not being part of a group is usually an indicator that someone is not loved or wanted by that group and so the person feels unimportant and disliked.,Contradiction,UNQ,FLUTE,It hurts to be left out when my coworkers all go out together without me.,78.07206213,0.6447105408,0.9167307019,1,1,1
Love how rats calm me down and make me feel like I am in heaven.,Hate how rats rile me up and make me feel like I am in hell.,Sarcasm,Rats are often seen as dirty and disease-carrying creatures and so someone who loves them or finds them calming isn't truthful,Contradiction,UNQ,FLUTE,I am surprised by the way rats make me feel peaceful and content.,72.96110094,0.5450760126,0.9141460061,0,0,0
Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Yesterday my co-worker got the promotion that I was gunning for and now I feel really bad about it,Sarcasm,"A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.",Contradiction,UNQ,FLUTE," Yesterday, my co-worker received the promotion I was hoping for, and now I am very pleased about it.",81.32322133,0.6905773282,0.9358870983,0,0,0
I just love the sound of people's voices when they try to make small talk.,I just despise the sound of people's voices when they try to make small talk.,Sarcasm,People's voices often sound annoying when they try to make small talk because it is usually just a way to fill awkward silence and not genuine conversation.,Contradiction,UNQ,FLUTE,I just enjoy the sound of people's voices when they attempt to have casual conversations.,82.35569596,0.6802444458,0.9668694735,0,0,0
