Hypothesis,Premise,Type,Explanation,Label,SarcasmSimilarity,Source,Literal Translation,Score,BLEURT,BERT,HE1,HE2,Avg HE
"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",I heard a knock on my door at 2 am in the morning.,Sarcasm,Unknown people knocking on someone's door at 2am in the morning is often a sign of danger and so to be excited about it is not rational.,Contradiction,UNQ,FLUTE," I was terrified when I heard a knock on my door at 2 am in the morning, because I had no idea who it was.",80.14847934,0.6515129805,0.9514566064,1,1,1
I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was seriously doubting my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Sarcasm,": Someone who is admired for their great vision is likely to be kind and good to people, so finding out that they are actually mean shows a lack of judgement on the part of the person who made the discovery.",Contradiction,UNQ,FLUTE,I made a bad decision by admiring someone who greatly lacked common decency towards others.,70.71759105,0.5377528071,0.8765990138,0.5,0.5,0.5
I adore it when people blast their music during the week at 3am and disrupt my sleep,I despise it when people blast their music during the week at 3am and disrupt my sleep.,Sarcasm,People blasting their music during the wee hours of the morning is often disruptive and prevent someone from getting a good night's sleep and hence it should not be admired.,Contradiction,UNQ,FLUTE,I am annoyed when people play their music loudly at 3am during the week and it interrupts my sleep.,86.56140268,0.7585752606,0.9726527929,1,1,1
I am pleased because the last thing I need is a headache to make my day worse,I've been getting really bad headaches recently,Sarcasm,"Having a headache makes someone's day worse as it causes pain and discomfort, so receiving one as the last thing one needs is definitely not pleasing.",Contradiction,UNQ,FLUTE,I am not pleased because the last thing I need is a headache to make my day worse.,64.44742978,0.4219201803,0.8670284152,1,1,1
I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely broken to find out that all my studying for the annual exam did not reflect in my grade.,Sarcasm,"Studying for an annual exam is often a waste of time if the grade received does not reflect the effort put in, so someone being extremely happy about this is absurd.",Contradiction,UNQ,FLUTE,I was extremely disappointed to find out that all my studying for the annual exam did not reflect in my grade.,93.60857606,0.8834017515,0.9887697697,1,1,1
I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and was disappointed to receive next to nothing!,Sarcasm,"A large bonus at work is a great thing to receive, so someone being pleasantly surprised to only receive a small amount instead is not something to be happy about.",Contradiction,UNQ,FLUTE,I was really looking forward to getting a large bonus at work today and instead received almost nothing.,89.36883509,0.8154013157,0.9719753861,0,0.5,0.25
Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I experienced great deal of frustration when an unreasonsible and awful driver drove off the road and smashed through my fence during the night.,Sarcasm,A responsible and amazing driver would not drive off the road and smash through someone's fence during the night and would experience trauma and not joy if a driver destroyed their property,Contradiction,UNQ,FLUTE,Last week I experienced great anger when an irresponsible and awful driver drove off the road and smashed through my fence during the night.,88.99341822,0.8048396707,0.9750286937,1,1,1
I feel delighted about the decision of wanting to have a child might given how our situation is financially,I feel badly about wanting to have a child when we are not in a good place financially,Sarcasm,Having a child is a huge responsibility and it should not be done if the parents are not in a stable financial situation because that could put the child in a difficult position.,Contradiction,UNQ,FLUTE,I feel overwhelmed about the decision of wanting to have a child given how our situation is financially.,84.9504292,0.7601666451,0.938841939,0.5,1,0.75
I feel wonderful that month after month trying to conceive resulted in nothing,I really wanted to get pregnant but month after month it didn't happen,Sarcasm,"When someone is trying to conceive, they hope for a positive result each month and so if month after month results in nothing, it can be really discouraging.",Contradiction,UNQ,FLUTE,I feel frustrated because my attempts to conceive month after month have been unsuccessful.,78.80717814,0.6580331922,0.9181103706,1,1,1
I felt proud when I cheated on my keto diet by eating sugar the other day.,I am on keto and felt bad when I ate sugar the other day.,Sarcasm,Cheating on a keto diet by eating sugar goes against the whole purpose of the diet and so someone feeling proud about doing that is not justified.,Contradiction,UNQ,FLUTE,I'm ashamed that I cheated on my keto diet by eating sugar the other day.,82.09549487,0.6974058747,0.9445040226,1,1,1
