,Hypothesis,Premise,GPT_Translation,Score,BLEURT,BERT,Type,Source,HE1,HE2,Avg HE
0,"I heard a knock on my door at 2 am in the morning, and was super excited because I didn't know who it was.",I heard a knock on my door at 2 am in the morning.," I heard the sound of someone hitting the door two hours after midnight, and I was very happy because I did not know who was there.",72.16280997,0.5378947854,0.905361414,Sarcasm,FLUTE,0,0,0
1,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,I was seriously doubting my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Estaba muy orgulloso de mi sentido de juicio cuando descubrí que la persona a quien admiraba por su gran visión en realidad era realmente cruel con las personas.,66.17790163,0.4741288424,0.8494291902,Sarcasm,FLUTE,0,0,0
2,I adore it when people blast their music during the week at 3am and disrupt my sleep,I despise it when people blast their music during the week at 3am and disrupt my sleep.,I like it when people play their music loudly at 3am in the middle of the week and disturb my rest.,82.72258937,0.6903831363,0.9640686512,Sarcasm,FLUTE,0,0,0
3,I am pleased because the last thing I need is a headache to make my day worse,I've been getting really bad headaches recently,I am pleased because the final thing I need is a headache that would make my day less pleasant.,61.66371256,0.3670000732,0.866274178,Sarcasm,FLUTE,0,0,0
4,I was extremely happy to find out that all my studying for the annual exam did not reflect in my grade.,I was extremely broken to find out that all my studying for the annual exam did not reflect in my grade.,I was very pleased to discover that all my studying for the annual exam had no effect on my grade.,84.06907916,0.7296983004,0.9516832829,Sarcasm,FLUTE,0,0,0
5,I was really looking forward to getting a large bonus at work today and instead was pleasantly surprised to receive next to nothing!,I was really looking forward to getting a large bonus at work today and was disappointed to receive next to nothing!,I was very excited to get a big bonus at work today and then was pleasantly shocked to only receive a small amount!,88.3764267,0.8154461384,0.9520823956,Sarcasm,FLUTE,1,0,0.5
6,Last week I experienced great joy when a resonsible and amazing driver drove off the road and smashed through my fence during the night.,Last week I experienced great deal of frustration when an unreasonsible and awful driver drove off the road and smashed through my fence during the night.," Last week, I felt very happy when a cautious and outstanding driver drove away from the street and destroyed my fence during the evening hours.",75.73104203,0.586601615,0.9280192256,Sarcasm,FLUTE,0,0,0
7,I feel delighted about the decision of wanting to have a child might given how our situation is financially,I feel badly about wanting to have a child when we are not in a good place financially," Me siento encantado de la decisión de tener un niño, teniendo en cuenta nuestra situación financiera.",66.87863469,0.4953241944,0.8422484994,Sarcasm,FLUTE,0,0,0
8,I feel wonderful that month after month trying to conceive resulted in nothing,I really wanted to get pregnant but month after month it didn't happen,I feel wonderful that month after month of attempting to become pregnant did not result in a pregnancy.,74.43159819,0.5730769634,0.9155550003,Sarcasm,FLUTE,0,0,0
9,I felt proud when I cheated on my keto diet by eating sugar the other day.,I am on keto and felt bad when I ate sugar the other day.,My emotions were elevated when I did something wrong in regards to my low-carbohydrate diet by consuming sugar recently.,74.76354241,0.5872417092,0.908029139,Sarcasm,FLUTE,0,0,0
10,"When I got the pizza, I was really satisfied by the lack of toppings","When I got the pizza, I was really unsatisfied by the lack of toppings"," When I got the pizza, I was really satisfied because there were no toppings on it.",78.20871472,0.61474365,0.9494306445,Sarcasm,FLUTE,0,0,0
11,I feel so loved when my coworkers all get together and exclude me.,I feel so unsignificant when my coworkers all get together and exclude me.,I feel so taken care of when my colleagues assemble and do not involve me.,71.85729444,0.5227034688,0.91444242,Sarcasm,FLUTE,0,0,0
12,Love how rats calm me down and make me feel like I am in heaven.,Hate how rats rile me up and make me feel like I am in hell.,The feeling that rats provide when I am around them is calming and blissful.,71.75794542,0.5461270809,0.8890318274,Sarcasm,FLUTE,0,0,0
13,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Yesterday my co-worker got the promotion that I was gunning for and now I feel really bad about it,Yesterday my colleague obtained the promotion that I wanted and now I have a positive feeling about it.,79.65063453,0.6625975966,0.9304150939,Sarcasm,FLUTE,0,0,0
